,PROPS,THRESH
1877,Luke Kornet-fgm-over,1.5
1876,Al Horford-assists-under,2.5
1875,Myles Turner-fg3m-over,1.5
789,Myles Turner-steals-under,0.5
788,Obi Toppin-points-over,7.5
790,Jayson Tatum-fgm-under,9.5
19,Jayson Tatum-fgm-under,9.5
20,Al Horford-assists-under,2.5
18,Pascal Siakam-blocks-under,0.5
1060,Luke Kornet-assists-over,0.5
1062,Al Horford-assists-under,2.5
1061,Derrick White-rebounds-over,3.5
659,Payton Pritchard-fg3m-over,1.5
658,Myles Turner-fg3m-over,1.5
656,Andrew Nembhard-blocks-under,0.5
657,Payton Pritchard-assists-over,2.5
837,Jrue Holiday-rebounds-under,5.5
838,Jaylen Brown-rebounds-under,6.5
836,T.J. McConnell-fgm-over,4.5
1333,Payton Pritchard-fgm-over,3.5
1335,Andrew Nembhard-points-over,10.5
1334,Luke Kornet-assists-over,0.5
516,Jayson Tatum-points-under,29.5
517,Payton Pritchard-fgm-over,3.5
518,Myles Turner-points-over,15.5
1075,Payton Pritchard-assists-over,2.5
1076,T.J. McConnell-assists-over,4.5
1077,Al Horford-assists-under,2.5
1252,Payton Pritchard-assists-over,2.5
903,Jayson Tatum-rebounds-under,10.5
904,T.J. McConnell-assists-over,4.5
905,Al Horford-assists-under,2.5
1253,T.J. McConnell-assists-over,4.5
1254,Al Horford-assists-under,2.5
1492,Al Horford-assists-under,2.5
1491,Luke Kornet-assists-over,0.5
1490,Luke Kornet-points-over,3.5
714,Derrick White-rebounds-over,3.5
713,Jrue Holiday-points-under,12.5
136,Derrick White-rebounds-over,3.5
137,Al Horford-assists-under,2.5
715,Al Horford-assists-under,2.5
135,Jayson Tatum-points-under,29.5
1331,T.J. McConnell-fgm-over,4.5
1330,Obi Toppin-points-over,7.5
1332,Jrue Holiday-rebounds-under,5.5
147,Jayson Tatum-points-under,29.5
149,T.J. McConnell-assists-over,4.5
148,Luke Kornet-assists-over,0.5
1127,Jrue Holiday-rebounds-under,5.5
1126,Al Horford-rebounds-under,7.5
1125,Andrew Nembhard-blocks-under,0.5
1124,Obi Toppin-points-over,7.5
946,Payton Pritchard-fg3m-over,1.5
945,Andrew Nembhard-points-over,10.5
944,Luke Kornet-assists-over,0.5
881,Jaylen Brown-rebounds-under,6.5
880,Jrue Holiday-points-under,12.5
879,Payton Pritchard-fgm-over,3.5
628,Aaron Nesmith-points-over,9.5
629,Myles Turner-points-over,15.5
630,Payton Pritchard-fg3m-over,1.5
1826,Payton Pritchard-fg3m-over,1.5
990,Payton Pritchard-fg3m-over,1.5
1825,Payton Pritchard-steals-under,0.5
1824,T.J. McConnell-fgm-over,4.5
989,Payton Pritchard-steals-under,0.5
988,T.J. McConnell-fgm-over,4.5
529,Andrew Nembhard-blocks-under,0.5
532,Pascal Siakam-assists-over,2.5
531,Andrew Nembhard-points-over,10.5
530,T.J. McConnell-assists-over,4.5
1015,Jayson Tatum-fgm-under,9.5
1014,Payton Pritchard-fgm-over,3.5
1016,Payton Pritchard-steals-under,0.5
1686,Obi Toppin-points-over,7.5
1687,Payton Pritchard-assists-over,2.5
1688,T.J. McConnell-fgm-over,4.5
105,Jrue Holiday-rebounds-under,5.5
103,Payton Pritchard-points-over,9.5
104,Jayson Tatum-points-under,29.5
34,Luke Kornet-points-over,3.5
35,Luke Kornet-assists-over,0.5
36,T.J. McConnell-fgm-over,4.5
1581,Payton Pritchard-steals-under,0.5
1580,Al Horford-assists-under,2.5
1579,Obi Toppin-points-over,7.5
99,Pascal Siakam-blocks-under,0.5
98,T.J. McConnell-assists-over,4.5
97,Luke Kornet-assists-over,0.5
96,Andrew Nembhard-blocks-under,0.5
753,Payton Pritchard-fgm-over,3.5
369,Payton Pritchard-fgm-over,3.5
370,T.J. McConnell-assists-over,4.5
371,Aaron Nesmith-points-over,9.5
754,T.J. McConnell-assists-over,4.5
752,Jayson Tatum-points-under,29.5
1611,Jrue Holiday-points-under,12.5
1718,Andrew Nembhard-points-over,10.5
1717,Myles Turner-steals-under,0.5
1716,Jayson Tatum-points-under,29.5
1612,Luke Kornet-fgm-over,1.5
1613,Payton Pritchard-fg3m-over,1.5
522,Myles Turner-fg3m-over,1.5
878,Jaylen Brown-rebounds-under,6.5
523,Jayson Tatum-fgm-under,9.5
877,Jayson Tatum-fgm-under,9.5
876,Jayson Tatum-rebounds-under,10.5
524,Jaylen Brown-rebounds-under,6.5
1339,Jayson Tatum-points-under,29.5
661,Jayson Tatum-rebounds-under,10.5
1340,Luke Kornet-assists-over,0.5
1926,Luke Kornet-assists-over,0.5
1925,Jayson Tatum-points-under,29.5
660,Payton Pritchard-points-over,9.5
1788,Payton Pritchard-fgm-over,3.5
1789,Luke Kornet-assists-over,0.5
1790,Al Horford-rebounds-under,7.5
1341,Myles Turner-fg3m-over,1.5
1927,Al Horford-rebounds-under,7.5
662,Jayson Tatum-points-under,29.5
1907,Myles Turner-steals-under,0.5
200,Myles Turner-steals-under,0.5
199,T.J. McConnell-points-over,9.5
198,Payton Pritchard-points-over,9.5
1905,T.J. McConnell-points-over,9.5
1906,Luke Kornet-assists-over,0.5
751,Aaron Nesmith-points-over,9.5
1487,T.J. McConnell-points-over,9.5
750,Jrue Holiday-rebounds-under,5.5
749,Jayson Tatum-points-under,29.5
1488,Jayson Tatum-points-under,29.5
1489,Payton Pritchard-fgm-over,3.5
536,Luke Kornet-points-over,3.5
1674,T.J. McConnell-fgm-over,4.5
1672,Luke Kornet-points-over,3.5
538,T.J. McConnell-fgm-over,4.5
1673,Jayson Tatum-points-under,29.5
537,Jrue Holiday-points-under,12.5
1213,Luke Kornet-assists-over,0.5
1215,Luke Kornet-fgm-over,1.5
1214,T.J. McConnell-assists-over,4.5
1114,Payton Pritchard-fgm-over,3.5
1864,Obi Toppin-points-over,7.5
1115,T.J. McConnell-assists-over,4.5
1116,Myles Turner-points-over,15.5
1865,Jayson Tatum-points-under,29.5
1866,Myles Turner-steals-under,0.5
1103,Myles Turner-points-over,15.5
1102,Jrue Holiday-points-under,12.5
1101,Obi Toppin-points-over,7.5
1118,Al Horford-rebounds-under,7.5
1117,Obi Toppin-points-over,7.5
1119,Jayson Tatum-fgm-under,9.5
821,Aaron Nesmith-points-over,9.5
822,Andrew Nembhard-points-over,10.5
823,Jaylen Brown-rebounds-under,6.5
1037,Jaylen Brown-rebounds-under,6.5
1035,Jayson Tatum-points-under,29.5
1036,Luke Kornet-fgm-over,1.5
292,Myles Turner-fg3m-over,1.5
1422,Al Horford-rebounds-under,7.5
1744,T.J. McConnell-fgm-over,4.5
290,Jayson Tatum-rebounds-under,10.5
1743,Payton Pritchard-assists-over,2.5
291,T.J. McConnell-fgm-over,4.5
1424,Myles Turner-fg3m-over,1.5
1745,Myles Turner-fg3m-over,1.5
1423,T.J. McConnell-fgm-over,4.5
1715,Luke Kornet-fgm-over,1.5
1714,Obi Toppin-fgm-over,3.5
1713,Jayson Tatum-steals-under,1.5
591,Al Horford-rebounds-under,7.5
592,Myles Turner-steals-under,0.5
590,Luke Kornet-assists-over,0.5
1040,Myles Turner-points-over,15.5
446,Jayson Tatum-rebounds-under,10.5
1191,Luke Kornet-assists-over,0.5
1190,Jayson Tatum-rebounds-under,10.5
1038,Payton Pritchard-assists-over,2.5
1192,Myles Turner-points-over,15.5
447,Luke Kornet-assists-over,0.5
448,Payton Pritchard-fg3m-over,1.5
820,Myles Turner-points-over,15.5
819,Luke Kornet-assists-over,0.5
818,Jayson Tatum-rebounds-under,10.5
313,Myles Turner-points-over,15.5
1039,Luke Kornet-assists-over,0.5
311,Luke Kornet-assists-over,0.5
312,Al Horford-rebounds-under,7.5
634,Jayson Tatum-points-under,29.5
635,Myles Turner-fg3m-over,1.5
636,Aaron Nesmith-points-over,9.5
1556,Myles Turner-fg3m-over,1.5
1555,Payton Pritchard-fgm-over,3.5
1554,Jayson Tatum-points-under,29.5
1776,Jayson Tatum-points-under,29.5
1777,Payton Pritchard-fgm-over,3.5
1778,Al Horford-rebounds-under,7.5
353,Payton Pritchard-fgm-over,3.5
355,Myles Turner-points-over,15.5
354,Jrue Holiday-rebounds-under,5.5
1135,T.J. McConnell-points-over,9.5
1136,Al Horford-rebounds-under,7.5
1137,Jayson Tatum-fgm-under,9.5
1812,Obi Toppin-points-over,7.5
1813,Payton Pritchard-fgm-over,3.5
1814,Luke Kornet-fgm-over,1.5
1074,Payton Pritchard-steals-under,0.5
1072,T.J. McConnell-fgm-over,4.5
1073,Jrue Holiday-rebounds-under,5.5
1621,Andrew Nembhard-points-over,10.5
1622,Luke Kornet-fgm-over,1.5
1623,Payton Pritchard-fg3m-over,1.5
1582,Payton Pritchard-assists-over,2.5
1584,Pascal Siakam-assists-over,2.5
1583,Al Horford-assists-under,2.5
2,Jayson Tatum-fgm-under,9.5
1,Payton Pritchard-fgm-over,3.5
0,Luke Kornet-points-over,3.5
399,Jayson Tatum-fgm-under,9.5
400,Al Horford-assists-under,2.5
398,Jayson Tatum-steals-under,1.5
1045,Payton Pritchard-fgm-over,3.5
1928,Payton Pritchard-fgm-over,3.5
1929,T.J. McConnell-fgm-over,4.5
1930,Pascal Siakam-blocks-under,0.5
559,Payton Pritchard-fgm-over,3.5
1046,T.J. McConnell-fgm-over,4.5
561,Pascal Siakam-blocks-under,0.5
560,T.J. McConnell-fgm-over,4.5
1047,Pascal Siakam-blocks-under,0.5
1010,Luke Kornet-fgm-over,1.5
1009,Myles Turner-fg3m-over,1.5
1296,Andrew Nembhard-points-over,10.5
1295,Jayson Tatum-rebounds-under,10.5
1294,Payton Pritchard-points-over,9.5
1008,Luke Kornet-assists-over,0.5
375,Luke Kornet-assists-over,0.5
376,Myles Turner-fg3m-over,1.5
377,Luke Kornet-fgm-over,1.5
1353,Myles Turner-points-over,15.5
1352,Jayson Tatum-fgm-under,9.5
1351,Derrick White-rebounds-over,3.5
63,T.J. McConnell-points-over,9.5
61,Obi Toppin-points-over,7.5
62,Payton Pritchard-points-over,9.5
681,Payton Pritchard-fgm-over,3.5
680,Payton Pritchard-assists-over,2.5
682,Myles Turner-steals-under,0.5
543,Al Horford-rebounds-under,7.5
545,Myles Turner-points-over,15.5
544,Aaron Nesmith-points-over,9.5
1249,Payton Pritchard-assists-over,2.5
51,Jayson Tatum-points-under,29.5
1250,Jayson Tatum-points-under,29.5
1251,Payton Pritchard-fg3m-over,1.5
52,Myles Turner-points-over,15.5
1661,Al Horford-rebounds-under,7.5
50,Payton Pritchard-assists-over,2.5
1660,Jrue Holiday-points-under,12.5
1662,Payton Pritchard-fg3m-over,1.5
1306,Jayson Tatum-fgm-under,9.5
413,Payton Pritchard-assists-over,2.5
414,Jayson Tatum-rebounds-under,10.5
1305,Al Horford-rebounds-under,7.5
1304,Payton Pritchard-assists-over,2.5
415,Jayson Tatum-fgm-under,9.5
625,T.J. McConnell-fgm-over,4.5
627,Pascal Siakam-assists-over,2.5
626,Jrue Holiday-rebounds-under,5.5
1377,Payton Pritchard-fgm-over,3.5
1637,Jrue Holiday-rebounds-under,5.5
1376,T.J. McConnell-points-over,9.5
1636,Jrue Holiday-points-under,12.5
1616,Andrew Nembhard-points-over,10.5
1378,Luke Kornet-fgm-over,1.5
699,Jrue Holiday-rebounds-under,5.5
1638,Luke Kornet-fgm-over,1.5
1615,Jayson Tatum-points-under,29.5
700,Luke Kornet-fgm-over,1.5
1614,T.J. McConnell-points-over,9.5
773,T.J. McConnell-points-over,9.5
774,Payton Pritchard-fgm-over,3.5
775,Andrew Nembhard-points-over,10.5
698,Payton Pritchard-fgm-over,3.5
1468,Myles Turner-steals-under,0.5
1469,Payton Pritchard-fg3m-over,1.5
1467,Jrue Holiday-rebounds-under,5.5
249,Payton Pritchard-points-over,9.5
251,Derrick White-rebounds-over,3.5
250,Luke Kornet-assists-over,0.5
1652,Jrue Holiday-steals-under,1.5
1653,T.J. McConnell-fgm-over,4.5
1651,Jrue Holiday-points-under,12.5
578,Myles Turner-steals-under,0.5
569,Myles Turner-points-over,15.5
1431,T.J. McConnell-assists-over,4.5
406,Andrew Nembhard-points-over,10.5
405,Myles Turner-steals-under,0.5
404,Obi Toppin-points-over,7.5
623,Payton Pritchard-fg3m-over,1.5
577,T.J. McConnell-assists-over,4.5
568,T.J. McConnell-assists-over,4.5
622,Obi Toppin-points-over,7.5
579,Luke Kornet-fgm-over,1.5
570,Andrew Nembhard-points-over,10.5
1432,Myles Turner-points-over,15.5
1433,Jaylen Brown-rebounds-under,6.5
624,Jaylen Brown-rebounds-under,6.5
854,Pascal Siakam-blocks-under,0.5
855,Al Horford-assists-under,2.5
856,Jaylen Brown-rebounds-under,6.5
1184,Payton Pritchard-fgm-over,3.5
1185,Jrue Holiday-points-under,12.5
1418,Payton Pritchard-steals-under,0.5
1417,Aaron Nesmith-points-over,9.5
1416,Jayson Tatum-points-under,29.5
1186,Payton Pritchard-steals-under,0.5
1565,Derrick White-rebounds-over,3.5
1564,T.J. McConnell-assists-over,4.5
1563,T.J. McConnell-fgm-over,4.5
1525,Payton Pritchard-steals-under,0.5
1524,Jayson Tatum-fgm-under,9.5
1523,T.J. McConnell-points-over,9.5
799,Derrick White-rebounds-over,3.5
798,Al Horford-rebounds-under,7.5
800,Al Horford-assists-under,2.5
122,T.J. McConnell-assists-over,4.5
120,Payton Pritchard-points-over,9.5
121,Jayson Tatum-rebounds-under,10.5
1398,Jayson Tatum-rebounds-under,10.5
1052,Payton Pritchard-assists-over,2.5
1053,Luke Kornet-assists-over,0.5
1397,Obi Toppin-points-over,7.5
1051,Obi Toppin-points-over,7.5
1399,Luke Kornet-assists-over,0.5
1474,T.J. McConnell-points-over,9.5
1475,Luke Kornet-assists-over,0.5
1476,Jrue Holiday-rebounds-under,5.5
205,Myles Turner-fg3m-over,1.5
173,Jrue Holiday-points-under,12.5
1321,Andrew Nembhard-points-over,10.5
546,Jayson Tatum-rebounds-under,10.5
547,Jrue Holiday-points-under,12.5
548,Andrew Nembhard-points-over,10.5
1320,Jrue Holiday-points-under,12.5
1319,Payton Pritchard-assists-over,2.5
175,Jaylen Brown-rebounds-under,6.5
174,Al Horford-rebounds-under,7.5
206,Luke Kornet-fgm-over,1.5
204,Jayson Tatum-points-under,29.5
902,Luke Kornet-fgm-over,1.5
901,Jrue Holiday-points-under,12.5
900,Jayson Tatum-rebounds-under,10.5
1602,T.J. McConnell-assists-over,4.5
1867,Obi Toppin-points-over,7.5
1869,Aaron Nesmith-points-over,9.5
1603,Jrue Holiday-rebounds-under,5.5
1733,Aaron Nesmith-points-over,9.5
1347,Aaron Nesmith-points-over,9.5
1346,Jrue Holiday-rebounds-under,5.5
1731,T.J. McConnell-points-over,9.5
1732,T.J. McConnell-assists-over,4.5
1345,T.J. McConnell-assists-over,4.5
1604,Aaron Nesmith-points-over,9.5
1868,T.J. McConnell-points-over,9.5
678,Luke Kornet-points-over,3.5
679,T.J. McConnell-fgm-over,4.5
677,Obi Toppin-points-over,7.5
1093,Pascal Siakam-assists-over,2.5
1092,Payton Pritchard-fgm-over,3.5
1091,Jayson Tatum-points-under,29.5
949,Payton Pritchard-fg3m-over,1.5
948,Andrew Nembhard-points-over,10.5
947,T.J. McConnell-points-over,9.5
1522,Payton Pritchard-fg3m-over,1.5
1520,Jrue Holiday-rebounds-under,5.5
1521,Andrew Nembhard-points-over,10.5
1098,T.J. McConnell-points-over,9.5
1099,Myles Turner-points-over,15.5
1100,Andrew Nembhard-points-over,10.5
1914,Jayson Tatum-points-under,29.5
1916,Derrick White-rebounds-over,3.5
1915,Luke Kornet-assists-over,0.5
44,T.J. McConnell-points-over,9.5
45,Jayson Tatum-fgm-under,9.5
46,Pascal Siakam-assists-over,2.5
491,Obi Toppin-fgm-over,3.5
490,T.J. McConnell-fgm-over,4.5
489,Andrew Nembhard-blocks-under,0.5
1700,Payton Pritchard-fg3m-over,1.5
1698,Jayson Tatum-points-under,29.5
1699,Payton Pritchard-steals-under,0.5
1181,Jayson Tatum-points-under,29.5
1182,Myles Turner-steals-under,0.5
1183,Payton Pritchard-steals-under,0.5
933,Payton Pritchard-points-over,9.5
932,Payton Pritchard-assists-over,2.5
934,Jrue Holiday-rebounds-under,5.5
1141,Payton Pritchard-points-over,9.5
1142,T.J. McConnell-points-over,9.5
1143,Myles Turner-fg3m-over,1.5
1463,Al Horford-assists-under,2.5
1462,T.J. McConnell-assists-over,4.5
1461,Jrue Holiday-steals-under,1.5
1239,T.J. McConnell-assists-over,4.5
1862,T.J. McConnell-assists-over,4.5
1541,Aaron Nesmith-points-over,9.5
1540,Myles Turner-fg3m-over,1.5
1539,Obi Toppin-points-over,7.5
1861,Al Horford-rebounds-under,7.5
1863,Aaron Nesmith-points-over,9.5
1237,Jayson Tatum-rebounds-under,10.5
1238,Payton Pritchard-fgm-over,3.5
784,Luke Kornet-fgm-over,1.5
783,Myles Turner-points-over,15.5
782,Payton Pritchard-assists-over,2.5
1012,Myles Turner-steals-under,0.5
1013,Jaylen Brown-rebounds-under,6.5
1808,Jaylen Brown-rebounds-under,6.5
1807,Myles Turner-steals-under,0.5
1011,Payton Pritchard-assists-over,2.5
1270,Andrew Nembhard-points-over,10.5
1269,Myles Turner-points-over,15.5
1268,Al Horford-rebounds-under,7.5
1806,Payton Pritchard-assists-over,2.5
1022,Myles Turner-points-over,15.5
1020,Obi Toppin-points-over,7.5
1021,T.J. McConnell-points-over,9.5
1832,Payton Pritchard-fg3m-over,1.5
1831,T.J. McConnell-points-over,9.5
1830,Obi Toppin-points-over,7.5
735,Payton Pritchard-fg3m-over,1.5
734,Jrue Holiday-rebounds-under,5.5
733,Obi Toppin-points-over,7.5
1791,Payton Pritchard-fgm-over,3.5
1846,Myles Turner-points-over,15.5
1793,Pascal Siakam-assists-over,2.5
826,Pascal Siakam-assists-over,2.5
825,Myles Turner-points-over,15.5
1845,Payton Pritchard-fgm-over,3.5
1792,Myles Turner-points-over,15.5
1847,Pascal Siakam-assists-over,2.5
824,Jrue Holiday-points-under,12.5
1258,Payton Pritchard-points-over,9.5
16,Derrick White-rebounds-over,3.5
1259,Derrick White-rebounds-over,3.5
17,Myles Turner-steals-under,0.5
1260,Myles Turner-points-over,15.5
15,Payton Pritchard-points-over,9.5
1819,Luke Kornet-points-over,3.5
1820,Jayson Tatum-fgm-under,9.5
1818,Obi Toppin-points-over,7.5
919,Luke Kornet-assists-over,0.5
921,Myles Turner-fg3m-over,1.5
920,Al Horford-rebounds-under,7.5
895,Andrew Nembhard-points-over,10.5
1859,Payton Pritchard-steals-under,0.5
894,Aaron Nesmith-points-over,9.5
1858,Jrue Holiday-points-under,12.5
1365,Payton Pritchard-steals-under,0.5
1363,Jrue Holiday-points-under,12.5
896,Payton Pritchard-steals-under,0.5
1364,Andrew Nembhard-points-over,10.5
1860,Jaylen Brown-rebounds-under,6.5
1356,Jayson Tatum-fgm-under,9.5
1355,Jrue Holiday-rebounds-under,5.5
1354,Derrick White-rebounds-over,3.5
93,Payton Pritchard-assists-over,2.5
922,T.J. McConnell-points-over,9.5
923,Jrue Holiday-points-under,12.5
924,Myles Turner-fg3m-over,1.5
1394,Luke Kornet-points-over,3.5
1396,Myles Turner-fg3m-over,1.5
95,Jrue Holiday-rebounds-under,5.5
1395,T.J. McConnell-fgm-over,4.5
94,Jrue Holiday-points-under,12.5
1177,Payton Pritchard-steals-under,0.5
1176,Al Horford-assists-under,2.5
1175,Luke Kornet-points-over,3.5
1841,Luke Kornet-fgm-over,1.5
1839,Myles Turner-fg3m-over,1.5
1840,Andrew Nembhard-points-over,10.5
1630,Luke Kornet-assists-over,0.5
1631,T.J. McConnell-assists-over,4.5
1632,Pascal Siakam-assists-over,2.5
602,Payton Pritchard-points-over,9.5
603,T.J. McConnell-points-over,9.5
604,Payton Pritchard-steals-under,0.5
815,Jrue Holiday-points-under,12.5
817,Pascal Siakam-assists-over,2.5
816,Andrew Nembhard-points-over,10.5
796,T.J. McConnell-assists-over,4.5
79,Payton Pritchard-steals-under,0.5
304,Payton Pritchard-steals-under,0.5
303,Jayson Tatum-points-under,29.5
797,Payton Pritchard-steals-under,0.5
795,Jrue Holiday-points-under,12.5
77,Obi Toppin-points-over,7.5
302,Obi Toppin-points-over,7.5
78,Aaron Nesmith-points-over,9.5
287,Payton Pritchard-points-over,9.5
288,Jayson Tatum-steals-under,1.5
289,T.J. McConnell-fgm-over,4.5
1464,Jayson Tatum-rebounds-under,10.5
1002,Jrue Holiday-points-under,12.5
890,Myles Turner-fg3m-over,1.5
1001,Payton Pritchard-assists-over,2.5
1465,Jrue Holiday-points-under,12.5
889,Jayson Tatum-points-under,29.5
888,Payton Pritchard-assists-over,2.5
1003,Myles Turner-fg3m-over,1.5
1466,Myles Turner-fg3m-over,1.5
222,Payton Pritchard-points-over,9.5
223,Jrue Holiday-points-under,12.5
224,Pascal Siakam-blocks-under,0.5
686,T.J. McConnell-fgm-over,4.5
687,Derrick White-rebounds-over,3.5
688,Payton Pritchard-steals-under,0.5
708,Jayson Tatum-fgm-under,9.5
707,Jrue Holiday-steals-under,1.5
709,Luke Kornet-fgm-over,1.5
241,T.J. McConnell-points-over,9.5
242,Myles Turner-points-over,15.5
240,Payton Pritchard-assists-over,2.5
1178,Obi Toppin-points-over,7.5
1179,Jayson Tatum-rebounds-under,10.5
1180,Andrew Nembhard-points-over,10.5
350,Payton Pritchard-points-over,9.5
237,Payton Pritchard-points-over,9.5
351,Al Horford-rebounds-under,7.5
238,Jayson Tatum-rebounds-under,10.5
352,Payton Pritchard-steals-under,0.5
239,Payton Pritchard-steals-under,0.5
1558,Pascal Siakam-blocks-under,0.5
1557,T.J. McConnell-assists-over,4.5
1559,Jayson Tatum-fgm-under,9.5
1112,T.J. McConnell-assists-over,4.5
1111,Jayson Tatum-points-under,29.5
1694,Pascal Siakam-assists-over,2.5
1113,Pascal Siakam-assists-over,2.5
91,Payton Pritchard-fgm-over,3.5
92,Pascal Siakam-assists-over,2.5
1692,Jrue Holiday-points-under,12.5
1693,T.J. McConnell-assists-over,4.5
90,Obi Toppin-points-over,7.5
1883,Aaron Nesmith-points-over,9.5
1882,Jrue Holiday-steals-under,1.5
1881,Payton Pritchard-points-over,9.5
631,Luke Kornet-points-over,3.5
633,Jayson Tatum-fgm-under,9.5
632,Myles Turner-fg3m-over,1.5
106,Andrew Nembhard-blocks-under,0.5
108,Andrew Nembhard-points-over,10.5
107,Jayson Tatum-steals-under,1.5
109,Jaylen Brown-rebounds-under,6.5
717,T.J. McConnell-points-over,9.5
719,Pascal Siakam-assists-over,2.5
716,Andrew Nembhard-blocks-under,0.5
718,Luke Kornet-points-over,3.5
1273,Pascal Siakam-assists-over,2.5
1272,Derrick White-rebounds-over,3.5
1271,T.J. McConnell-fgm-over,4.5
1800,Al Horford-rebounds-under,7.5
1801,T.J. McConnell-fgm-over,4.5
1802,Pascal Siakam-blocks-under,0.5
1255,Jrue Holiday-steals-under,1.5
1256,T.J. McConnell-assists-over,4.5
1257,Jayson Tatum-fgm-under,9.5
1799,Myles Turner-points-over,15.5
1757,Payton Pritchard-assists-over,2.5
1798,Al Horford-rebounds-under,7.5
1758,Jayson Tatum-rebounds-under,10.5
1759,Payton Pritchard-fg3m-over,1.5
1797,Payton Pritchard-assists-over,2.5
1357,Jayson Tatum-rebounds-under,10.5
1359,Myles Turner-fg3m-over,1.5
1358,Myles Turner-steals-under,0.5
676,Payton Pritchard-fg3m-over,1.5
675,Pascal Siakam-blocks-under,0.5
674,Payton Pritchard-points-over,9.5
914,Aaron Nesmith-points-over,9.5
1513,Jayson Tatum-points-under,29.5
1514,Jrue Holiday-points-under,12.5
913,Pascal Siakam-blocks-under,0.5
1515,Pascal Siakam-blocks-under,0.5
912,Jayson Tatum-points-under,29.5
349,Luke Kornet-fgm-over,1.5
348,Al Horford-rebounds-under,7.5
347,T.J. McConnell-points-over,9.5
428,Obi Toppin-fgm-over,3.5
427,Derrick White-rebounds-over,3.5
426,Jayson Tatum-steals-under,1.5
1403,Jayson Tatum-steals-under,1.5
1404,Derrick White-rebounds-over,3.5
1405,Obi Toppin-fgm-over,3.5
1439,Jrue Holiday-steals-under,1.5
1140,T.J. McConnell-fgm-over,4.5
1438,Jayson Tatum-rebounds-under,10.5
1440,T.J. McConnell-fgm-over,4.5
1139,Jrue Holiday-steals-under,1.5
1138,Payton Pritchard-assists-over,2.5
167,Jrue Holiday-rebounds-under,5.5
168,Pascal Siakam-blocks-under,0.5
243,T.J. McConnell-points-over,9.5
245,Jayson Tatum-fgm-under,9.5
169,Jayson Tatum-fgm-under,9.5
244,Pascal Siakam-blocks-under,0.5
1275,Payton Pritchard-fgm-over,3.5
1274,Luke Kornet-points-over,3.5
21,Luke Kornet-points-over,3.5
1276,Andrew Nembhard-points-over,10.5
22,Jayson Tatum-points-under,29.5
23,Andrew Nembhard-points-over,10.5
390,Al Horford-rebounds-under,7.5
389,Jrue Holiday-points-under,12.5
391,Payton Pritchard-steals-under,0.5
1373,Obi Toppin-points-over,7.5
1375,Pascal Siakam-assists-over,2.5
1728,T.J. McConnell-assists-over,4.5
1729,Pascal Siakam-assists-over,2.5
1374,Myles Turner-steals-under,0.5
1730,Payton Pritchard-fg3m-over,1.5
1626,Myles Turner-steals-under,0.5
1625,Jrue Holiday-steals-under,1.5
1624,Luke Kornet-assists-over,0.5
1131,Andrew Nembhard-blocks-under,0.5
1132,Derrick White-rebounds-over,3.5
1133,Pascal Siakam-blocks-under,0.5
1134,Andrew Nembhard-points-over,10.5
691,Aaron Nesmith-points-over,9.5
690,Derrick White-rebounds-over,3.5
689,T.J. McConnell-assists-over,4.5
225,T.J. McConnell-assists-over,4.5
227,Payton Pritchard-steals-under,0.5
226,Luke Kornet-fgm-over,1.5
127,Payton Pritchard-assists-over,2.5
128,Myles Turner-fg3m-over,1.5
1162,Jaylen Brown-rebounds-under,6.5
129,Andrew Nembhard-points-over,10.5
1161,Myles Turner-fg3m-over,1.5
