,PROPS,THRESH
1160,Jayson Tatum-rebounds-under,10.5
1535,Luke Kornet-points-over,3.5
1533,Payton Pritchard-points-over,9.5
1534,T.J. McConnell-points-over,9.5
1664,Jayson Tatum-points-under,29.5
1663,Jayson Tatum-rebounds-under,10.5
1599,Payton Pritchard-assists-over,2.5
1601,Pascal Siakam-assists-over,2.5
1600,Payton Pritchard-fgm-over,3.5
1665,Pascal Siakam-assists-over,2.5
917,Jayson Tatum-steals-under,1.5
916,Payton Pritchard-assists-over,2.5
918,Myles Turner-steals-under,0.5
915,Andrew Nembhard-blocks-under,0.5
940,Payton Pritchard-fgm-over,3.5
939,Luke Kornet-points-over,3.5
938,Obi Toppin-points-over,7.5
201,Jrue Holiday-rebounds-under,5.5
203,Pascal Siakam-assists-over,2.5
202,Myles Turner-points-over,15.5
1548,Jayson Tatum-points-under,29.5
1549,Jayson Tatum-steals-under,1.5
1550,Jayson Tatum-fgm-under,9.5
1886,Jaylen Brown-rebounds-under,6.5
873,Luke Kornet-points-over,3.5
874,Payton Pritchard-fg3m-over,1.5
1884,Luke Kornet-points-over,3.5
1885,Myles Turner-points-over,15.5
875,Jaylen Brown-rebounds-under,6.5
100,Luke Kornet-assists-over,0.5
101,Jrue Holiday-steals-under,1.5
102,Andrew Nembhard-points-over,10.5
872,Payton Pritchard-fg3m-over,1.5
871,Payton Pritchard-steals-under,0.5
870,Myles Turner-fg3m-over,1.5
950,Payton Pritchard-assists-over,2.5
951,Myles Turner-points-over,15.5
952,Payton Pritchard-steals-under,0.5
936,Myles Turner-fg3m-over,1.5
935,Jrue Holiday-steals-under,1.5
937,Jayson Tatum-fgm-under,9.5
1710,Luke Kornet-points-over,3.5
1711,Jayson Tatum-fgm-under,9.5
1712,Pascal Siakam-assists-over,2.5
165,Payton Pritchard-fgm-over,3.5
164,Andrew Nembhard-blocks-under,0.5
166,Obi Toppin-fgm-over,3.5
1082,Al Horford-rebounds-under,7.5
1081,Obi Toppin-points-over,7.5
1083,Myles Turner-fg3m-over,1.5
1207,Myles Turner-fg3m-over,1.5
1205,Obi Toppin-points-over,7.5
1206,Payton Pritchard-assists-over,2.5
620,Jayson Tatum-rebounds-under,10.5
621,Jrue Holiday-rebounds-under,5.5
619,T.J. McConnell-points-over,9.5
574,Payton Pritchard-points-over,9.5
575,Luke Kornet-points-over,3.5
576,Al Horford-rebounds-under,7.5
970,Al Horford-rebounds-under,7.5
969,Luke Kornet-assists-over,0.5
968,Luke Kornet-points-over,3.5
230,Jaylen Brown-rebounds-under,6.5
228,Jayson Tatum-points-under,29.5
229,Pascal Siakam-blocks-under,0.5
906,Jayson Tatum-rebounds-under,10.5
908,Payton Pritchard-fg3m-over,1.5
907,Pascal Siakam-assists-over,2.5
411,Luke Kornet-points-over,3.5
412,Jayson Tatum-points-under,29.5
410,T.J. McConnell-points-over,9.5
909,Payton Pritchard-assists-over,2.5
910,Jayson Tatum-points-under,29.5
911,Derrick White-rebounds-over,3.5
1506,Al Horford-rebounds-under,7.5
1508,Payton Pritchard-steals-under,0.5
1507,Luke Kornet-fgm-over,1.5
550,T.J. McConnell-assists-over,4.5
549,T.J. McConnell-points-over,9.5
551,Payton Pritchard-steals-under,0.5
1130,Jaylen Brown-rebounds-under,6.5
1318,Jaylen Brown-rebounds-under,6.5
1129,Jrue Holiday-steals-under,1.5
1128,Jrue Holiday-points-under,12.5
1316,Jrue Holiday-steals-under,1.5
493,Jrue Holiday-steals-under,1.5
492,Jayson Tatum-points-under,29.5
761,Payton Pritchard-fgm-over,3.5
762,Jrue Holiday-steals-under,1.5
763,Andrew Nembhard-points-over,10.5
494,Jaylen Brown-rebounds-under,6.5
1317,Aaron Nesmith-points-over,9.5
535,Jayson Tatum-rebounds-under,10.5
65,Jayson Tatum-rebounds-under,10.5
66,Myles Turner-fg3m-over,1.5
1078,Payton Pritchard-assists-over,2.5
1080,Myles Turner-fg3m-over,1.5
314,Payton Pritchard-assists-over,2.5
315,T.J. McConnell-points-over,9.5
1079,T.J. McConnell-points-over,9.5
533,Payton Pritchard-assists-over,2.5
64,T.J. McConnell-points-over,9.5
534,T.J. McConnell-points-over,9.5
316,Al Horford-rebounds-under,7.5
367,Jayson Tatum-steals-under,1.5
366,Obi Toppin-points-over,7.5
368,T.J. McConnell-fgm-over,4.5
140,Obi Toppin-fgm-over,3.5
139,Jrue Holiday-steals-under,1.5
138,Jayson Tatum-steals-under,1.5
1441,Jrue Holiday-points-under,12.5
1442,T.J. McConnell-assists-over,4.5
1443,Pascal Siakam-blocks-under,0.5
982,Payton Pritchard-fgm-over,3.5
983,Myles Turner-fg3m-over,1.5
981,Luke Kornet-points-over,3.5
1689,Pascal Siakam-blocks-under,0.5
1690,Myles Turner-points-over,15.5
1691,Jaylen Brown-rebounds-under,6.5
1552,Andrew Nembhard-points-over,10.5
1850,Pascal Siakam-assists-over,2.5
1551,Jayson Tatum-rebounds-under,10.5
1553,Pascal Siakam-assists-over,2.5
1849,Luke Kornet-fgm-over,1.5
1848,Myles Turner-fg3m-over,1.5
583,Jayson Tatum-steals-under,1.5
1774,Al Horford-rebounds-under,7.5
1657,Jayson Tatum-steals-under,1.5
1775,Al Horford-assists-under,2.5
1659,Al Horford-assists-under,2.5
1658,Myles Turner-fg3m-over,1.5
584,Myles Turner-fg3m-over,1.5
585,Al Horford-assists-under,2.5
1773,Jayson Tatum-steals-under,1.5
729,Myles Turner-steals-under,0.5
599,Luke Kornet-points-over,3.5
600,Jrue Holiday-rebounds-under,5.5
601,Myles Turner-points-over,15.5
727,T.J. McConnell-points-over,9.5
728,Luke Kornet-points-over,3.5
308,T.J. McConnell-fgm-over,4.5
310,Pascal Siakam-blocks-under,0.5
309,Derrick White-rebounds-over,3.5
1197,T.J. McConnell-assists-over,4.5
1196,Luke Kornet-points-over,3.5
1198,Jaylen Brown-rebounds-under,6.5
1171,Luke Kornet-fgm-over,1.5
1169,Jayson Tatum-steals-under,1.5
1170,Jayson Tatum-fgm-under,9.5
1844,T.J. McConnell-assists-over,4.5
272,Jrue Holiday-steals-under,1.5
274,Aaron Nesmith-points-over,9.5
278,Jrue Holiday-steals-under,1.5
279,T.J. McConnell-assists-over,4.5
280,Aaron Nesmith-points-over,9.5
1843,Jrue Holiday-steals-under,1.5
1842,Jrue Holiday-points-under,12.5
273,T.J. McConnell-assists-over,4.5
1738,Al Horford-rebounds-under,7.5
1737,Jayson Tatum-rebounds-under,10.5
1739,Myles Turner-fg3m-over,1.5
459,Myles Turner-fg3m-over,1.5
457,Jayson Tatum-rebounds-under,10.5
458,Al Horford-rebounds-under,7.5
885,Payton Pritchard-points-over,9.5
886,Jayson Tatum-rebounds-under,10.5
887,Pascal Siakam-blocks-under,0.5
1596,T.J. McConnell-points-over,9.5
1598,Pascal Siakam-blocks-under,0.5
1597,Jayson Tatum-points-under,29.5
1760,Jayson Tatum-points-under,29.5
1761,Derrick White-rebounds-over,3.5
1762,Payton Pritchard-steals-under,0.5
208,Pascal Siakam-blocks-under,0.5
207,T.J. McConnell-assists-over,4.5
209,Myles Turner-points-over,15.5
1610,Pascal Siakam-assists-over,2.5
1608,Obi Toppin-points-over,7.5
1609,Jayson Tatum-rebounds-under,10.5
393,Al Horford-rebounds-under,7.5
394,Myles Turner-points-over,15.5
1649,Al Horford-rebounds-under,7.5
392,Luke Kornet-points-over,3.5
1202,Jayson Tatum-rebounds-under,10.5
1648,Luke Kornet-points-over,3.5
1203,Luke Kornet-points-over,3.5
1650,Payton Pritchard-fg3m-over,1.5
1204,Myles Turner-steals-under,0.5
1382,Payton Pritchard-assists-over,2.5
1383,Payton Pritchard-points-over,9.5
1384,Jrue Holiday-steals-under,1.5
1221,Al Horford-rebounds-under,7.5
1220,Jrue Holiday-steals-under,1.5
1219,Luke Kornet-assists-over,0.5
83,Obi Toppin-points-over,7.5
85,T.J. McConnell-assists-over,4.5
84,Luke Kornet-points-over,3.5
295,Jrue Holiday-steals-under,1.5
294,Payton Pritchard-fgm-over,3.5
1444,T.J. McConnell-points-over,9.5
293,T.J. McConnell-points-over,9.5
1446,Jrue Holiday-steals-under,1.5
1445,Jayson Tatum-points-under,29.5
1291,Payton Pritchard-assists-over,2.5
1892,Luke Kornet-fgm-over,1.5
1891,Derrick White-rebounds-over,3.5
1890,Al Horford-rebounds-under,7.5
1292,Derrick White-rebounds-over,3.5
1293,Jaylen Brown-rebounds-under,6.5
1068,Myles Turner-points-over,15.5
1067,T.J. McConnell-assists-over,4.5
1066,Jrue Holiday-steals-under,1.5
597,Jrue Holiday-points-under,12.5
596,Payton Pritchard-assists-over,2.5
598,Pascal Siakam-blocks-under,0.5
69,Payton Pritchard-fg3m-over,1.5
68,Pascal Siakam-blocks-under,0.5
67,Jrue Holiday-rebounds-under,5.5
845,Aaron Nesmith-points-over,9.5
844,Jayson Tatum-steals-under,1.5
843,Jayson Tatum-points-under,29.5
1503,Derrick White-rebounds-over,3.5
1504,Myles Turner-points-over,15.5
1505,Payton Pritchard-steals-under,0.5
1605,Jrue Holiday-steals-under,1.5
1606,Derrick White-rebounds-over,3.5
1607,Jayson Tatum-fgm-under,9.5
372,Luke Kornet-points-over,3.5
373,T.J. McConnell-assists-over,4.5
374,Jrue Holiday-rebounds-under,5.5
1391,Payton Pritchard-fgm-over,3.5
1393,Al Horford-rebounds-under,7.5
1392,Jrue Holiday-steals-under,1.5
1895,Jayson Tatum-fgm-under,9.5
1894,Pascal Siakam-blocks-under,0.5
1893,Luke Kornet-points-over,3.5
1290,Jaylen Brown-rebounds-under,6.5
1289,Jrue Holiday-steals-under,1.5
1288,Obi Toppin-points-over,7.5
141,Derrick White-rebounds-over,3.5
142,Pascal Siakam-assists-over,2.5
143,Payton Pritchard-fg3m-over,1.5
1054,Jrue Holiday-rebounds-under,5.5
1055,Pascal Siakam-blocks-under,0.5
613,T.J. McConnell-points-over,9.5
615,Andrew Nembhard-points-over,10.5
1056,Andrew Nembhard-points-over,10.5
614,Pascal Siakam-blocks-under,0.5
1685,Payton Pritchard-steals-under,0.5
1684,Andrew Nembhard-points-over,10.5
1683,Derrick White-rebounds-over,3.5
813,Luke Kornet-points-over,3.5
1705,Luke Kornet-points-over,3.5
1704,Obi Toppin-points-over,7.5
285,Luke Kornet-points-over,3.5
814,T.J. McConnell-assists-over,4.5
286,T.J. McConnell-assists-over,4.5
284,Payton Pritchard-assists-over,2.5
812,Payton Pritchard-assists-over,2.5
1706,Myles Turner-fg3m-over,1.5
653,Jayson Tatum-points-under,29.5
654,Jayson Tatum-steals-under,1.5
655,Myles Turner-steals-under,0.5
505,Jayson Tatum-points-under,29.5
506,Pascal Siakam-blocks-under,0.5
507,Payton Pritchard-steals-under,0.5
1655,Jrue Holiday-steals-under,1.5
1654,T.J. McConnell-points-over,9.5
1656,Luke Kornet-fgm-over,1.5
809,Jayson Tatum-steals-under,1.5
810,Derrick White-rebounds-over,3.5
811,Al Horford-assists-under,2.5
1285,Jayson Tatum-rebounds-under,10.5
1287,Jrue Holiday-rebounds-under,5.5
1286,Luke Kornet-points-over,3.5
1569,T.J. McConnell-assists-over,4.5
1570,Derrick White-rebounds-over,3.5
1571,Payton Pritchard-steals-under,0.5
573,Pascal Siakam-assists-over,2.5
571,Jayson Tatum-points-under,29.5
572,Pascal Siakam-blocks-under,0.5
759,Jayson Tatum-steals-under,1.5
758,Jrue Holiday-points-under,12.5
760,Luke Kornet-fgm-over,1.5
1562,Derrick White-rebounds-over,3.5
1561,Jayson Tatum-rebounds-under,10.5
1560,Payton Pritchard-assists-over,2.5
1879,Jrue Holiday-steals-under,1.5
221,Jaylen Brown-rebounds-under,6.5
1878,Jayson Tatum-rebounds-under,10.5
219,Payton Pritchard-assists-over,2.5
220,Jrue Holiday-steals-under,1.5
1880,Jaylen Brown-rebounds-under,6.5
1903,Luke Kornet-points-over,3.5
1902,Obi Toppin-points-over,7.5
1904,Payton Pritchard-steals-under,0.5
4,Derrick White-rebounds-over,3.5
5,Myles Turner-steals-under,0.5
3,Luke Kornet-points-over,3.5
1804,Jrue Holiday-steals-under,1.5
1803,Payton Pritchard-points-over,9.5
1805,Derrick White-rebounds-over,3.5
650,Payton Pritchard-assists-over,2.5
651,Luke Kornet-points-over,3.5
652,Al Horford-rebounds-under,7.5
1223,Payton Pritchard-steals-under,0.5
1222,Jrue Holiday-steals-under,1.5
1224,Payton Pritchard-fg3m-over,1.5
710,Obi Toppin-points-over,7.5
711,Jrue Holiday-points-under,12.5
712,Jayson Tatum-steals-under,1.5
520,Jrue Holiday-steals-under,1.5
521,Myles Turner-fg3m-over,1.5
519,Obi Toppin-points-over,7.5
1058,Luke Kornet-points-over,3.5
1057,Obi Toppin-points-over,7.5
1059,Pascal Siakam-assists-over,2.5
1498,Myles Turner-steals-under,0.5
1497,Jrue Holiday-steals-under,1.5
1499,Pascal Siakam-assists-over,2.5
884,Myles Turner-fg3m-over,1.5
1815,Payton Pritchard-assists-over,2.5
1816,Jayson Tatum-steals-under,1.5
883,Jayson Tatum-steals-under,1.5
882,Payton Pritchard-points-over,9.5
1817,Luke Kornet-assists-over,0.5
336,Andrew Nembhard-blocks-under,0.5
337,Payton Pritchard-points-over,9.5
338,T.J. McConnell-fgm-over,4.5
439,Payton Pritchard-steals-under,0.5
438,Derrick White-rebounds-over,3.5
437,Payton Pritchard-assists-over,2.5
692,Luke Kornet-points-over,3.5
43,Pascal Siakam-blocks-under,0.5
41,Luke Kornet-points-over,3.5
694,Pascal Siakam-blocks-under,0.5
42,Jrue Holiday-points-under,12.5
693,Jayson Tatum-points-under,29.5
695,Obi Toppin-points-over,7.5
696,Jayson Tatum-steals-under,1.5
697,Payton Pritchard-fg3m-over,1.5
720,Jayson Tatum-steals-under,1.5
721,Andrew Nembhard-points-over,10.5
722,Luke Kornet-fgm-over,1.5
1282,T.J. McConnell-points-over,9.5
1283,Luke Kornet-points-over,3.5
1284,Pascal Siakam-assists-over,2.5
460,Payton Pritchard-assists-over,2.5
462,Payton Pritchard-steals-under,0.5
461,Luke Kornet-points-over,3.5
1390,Pascal Siakam-assists-over,2.5
1389,Derrick White-rebounds-over,3.5
683,Al Horford-rebounds-under,7.5
684,Derrick White-rebounds-over,3.5
1388,Payton Pritchard-assists-over,2.5
685,Pascal Siakam-assists-over,2.5
256,Payton Pritchard-assists-over,2.5
257,Al Horford-rebounds-under,7.5
258,Pascal Siakam-blocks-under,0.5
500,Jayson Tatum-steals-under,1.5
499,Jayson Tatum-points-under,29.5
501,Al Horford-rebounds-under,7.5
957,Payton Pritchard-assists-over,2.5
958,Jayson Tatum-steals-under,1.5
959,Aaron Nesmith-points-over,9.5
1408,T.J. McConnell-fgm-over,4.5
1406,Andrew Nembhard-blocks-under,0.5
1407,Payton Pritchard-fgm-over,3.5
246,T.J. McConnell-points-over,9.5
247,Jayson Tatum-steals-under,1.5
248,Myles Turner-steals-under,0.5
112,Pascal Siakam-assists-over,2.5
111,Luke Kornet-points-over,3.5
110,Payton Pritchard-assists-over,2.5
299,Derrick White-rebounds-over,3.5
300,Pascal Siakam-blocks-under,0.5
301,Luke Kornet-fgm-over,1.5
1409,T.J. McConnell-points-over,9.5
1410,Luke Kornet-points-over,3.5
1411,Derrick White-rebounds-over,3.5
157,Jrue Holiday-steals-under,1.5
158,Derrick White-rebounds-over,3.5
159,Jaylen Brown-rebounds-under,6.5
1312,Luke Kornet-fgm-over,1.5
386,T.J. McConnell-points-over,9.5
387,Jayson Tatum-steals-under,1.5
388,Luke Kornet-fgm-over,1.5
1310,T.J. McConnell-points-over,9.5
1311,Jayson Tatum-steals-under,1.5
1064,Pascal Siakam-assists-over,2.5
1065,Payton Pritchard-steals-under,0.5
1063,Derrick White-rebounds-over,3.5
667,Jayson Tatum-rebounds-under,10.5
668,Pascal Siakam-blocks-under,0.5
669,Payton Pritchard-steals-under,0.5
967,T.J. McConnell-fgm-over,4.5
966,Jrue Holiday-steals-under,1.5
965,Jayson Tatum-steals-under,1.5
1668,Pascal Siakam-blocks-under,0.5
1667,Jrue Holiday-steals-under,1.5
1666,Payton Pritchard-fgm-over,3.5
643,Andrew Nembhard-blocks-under,0.5
645,Jayson Tatum-fgm-under,9.5
644,Payton Pritchard-fgm-over,3.5
261,Pascal Siakam-blocks-under,0.5
259,T.J. McConnell-assists-over,4.5
260,Derrick White-rebounds-over,3.5
1590,Jayson Tatum-steals-under,1.5
1589,Payton Pritchard-assists-over,2.5
1526,Jayson Tatum-rebounds-under,10.5
1527,Jayson Tatum-steals-under,1.5
1528,Luke Kornet-fgm-over,1.5
1591,Luke Kornet-fgm-over,1.5
1048,Jrue Holiday-steals-under,1.5
1049,T.J. McConnell-assists-over,4.5
1050,Derrick White-rebounds-over,3.5
1324,Pascal Siakam-assists-over,2.5
320,Payton Pritchard-assists-over,2.5
321,Jrue Holiday-steals-under,1.5
322,Pascal Siakam-assists-over,2.5
1322,Jayson Tatum-rebounds-under,10.5
1323,Jrue Holiday-steals-under,1.5
29,Al Horford-assists-under,2.5
27,Andrew Nembhard-blocks-under,0.5
28,T.J. McConnell-points-over,9.5
194,Al Horford-assists-under,2.5
192,Andrew Nembhard-blocks-under,0.5
193,T.J. McConnell-points-over,9.5
593,Obi Toppin-points-over,7.5
595,Jrue Holiday-steals-under,1.5
594,Luke Kornet-points-over,3.5
1809,Obi Toppin-points-over,7.5
1811,Al Horford-rebounds-under,7.5
1810,Jayson Tatum-steals-under,1.5
1546,Jayson Tatum-steals-under,1.5
1547,Luke Kornet-assists-over,0.5
1545,Luke Kornet-points-over,3.5
1421,Jaylen Brown-rebounds-under,6.5
1419,Andrew Nembhard-blocks-under,0.5
1420,Jayson Tatum-fgm-under,9.5
1230,Jrue Holiday-rebounds-under,5.5
1229,Jayson Tatum-steals-under,1.5
1228,Payton Pritchard-assists-over,2.5
742,Payton Pritchard-assists-over,2.5
743,Jayson Tatum-steals-under,1.5
1344,Jayson Tatum-steals-under,1.5
744,Jrue Holiday-rebounds-under,5.5
1342,T.J. McConnell-points-over,9.5
1343,Jayson Tatum-rebounds-under,10.5
978,Luke Kornet-points-over,3.5
980,Jayson Tatum-steals-under,1.5
979,Payton Pritchard-fgm-over,3.5
1024,Luke Kornet-points-over,3.5
1025,Jrue Holiday-steals-under,1.5
1023,Payton Pritchard-assists-over,2.5
1315,Jayson Tatum-steals-under,1.5
1313,Payton Pritchard-assists-over,2.5
1314,Jayson Tatum-rebounds-under,10.5
1153,Payton Pritchard-points-over,9.5
1154,Jayson Tatum-steals-under,1.5
1155,Pascal Siakam-blocks-under,0.5
639,Aaron Nesmith-points-over,9.5
637,Andrew Nembhard-blocks-under,0.5
638,Payton Pritchard-fgm-over,3.5
1225,Andrew Nembhard-blocks-under,0.5
1226,Jayson Tatum-points-under,29.5
1227,Aaron Nesmith-points-over,9.5
114,Jayson Tatum-steals-under,1.5
1913,Pascal Siakam-assists-over,2.5
115,Pascal Siakam-assists-over,2.5
113,Obi Toppin-points-over,7.5
1912,Jayson Tatum-steals-under,1.5
1911,Obi Toppin-points-over,7.5
1836,Payton Pritchard-points-over,9.5
1837,Jayson Tatum-steals-under,1.5
1838,Jrue Holiday-steals-under,1.5
341,Payton Pritchard-steals-under,0.5
340,Derrick White-rebounds-over,3.5
339,Jrue Holiday-steals-under,1.5
328,Payton Pritchard-steals-under,0.5
327,Pascal Siakam-blocks-under,0.5
326,Luke Kornet-points-over,3.5
1576,Andrew Nembhard-blocks-under,0.5
1577,Luke Kornet-assists-over,0.5
1578,Luke Kornet-fgm-over,1.5
863,Luke Kornet-points-over,3.5
864,Jayson Tatum-steals-under,1.5
865,Jaylen Brown-rebounds-under,6.5
81,Jayson Tatum-points-under,29.5
407,Andrew Nembhard-blocks-under,0.5
408,Jayson Tatum-points-under,29.5
80,Andrew Nembhard-blocks-under,0.5
82,Jaylen Brown-rebounds-under,6.5
409,Jaylen Brown-rebounds-under,6.5
385,Payton Pritchard-fg3m-over,1.5
384,Myles Turner-steals-under,0.5
383,Andrew Nembhard-blocks-under,0.5
1188,Jrue Holiday-steals-under,1.5
1189,Payton Pritchard-fg3m-over,1.5
1187,Jayson Tatum-steals-under,1.5
778,Derrick White-rebounds-over,3.5
776,Jayson Tatum-steals-under,1.5
777,Al Horford-rebounds-under,7.5
1770,Andrew Nembhard-blocks-under,0.5
1771,Payton Pritchard-points-over,9.5
1772,Jayson Tatum-rebounds-under,10.5
49,Jayson Tatum-steals-under,1.5
48,Luke Kornet-points-over,3.5
47,Jayson Tatum-rebounds-under,10.5
1933,Jayson Tatum-points-under,29.5
1931,Andrew Nembhard-blocks-under,0.5
1932,T.J. McConnell-points-over,9.5
1031,Payton Pritchard-fg3m-over,1.5
1030,T.J. McConnell-assists-over,4.5
1029,Andrew Nembhard-blocks-under,0.5
1261,Andrew Nembhard-blocks-under,0.5
768,Payton Pritchard-assists-over,2.5
1633,Andrew Nembhard-blocks-under,0.5
1263,Al Horford-rebounds-under,7.5
1262,Jayson Tatum-points-under,29.5
1635,Payton Pritchard-fgm-over,3.5
1149,Myles Turner-fg3m-over,1.5
1148,Payton Pritchard-fgm-over,3.5
1147,Andrew Nembhard-blocks-under,0.5
767,Andrew Nembhard-blocks-under,0.5
1634,Jayson Tatum-rebounds-under,10.5
769,Jrue Holiday-points-under,12.5
1796,Myles Turner-fg3m-over,1.5
1795,Payton Pritchard-fgm-over,3.5
1794,Andrew Nembhard-blocks-under,0.5
1163,Jayson Tatum-steals-under,1.5
1165,Pascal Siakam-blocks-under,0.5
1164,Al Horford-rebounds-under,7.5
1367,Pascal Siakam-blocks-under,0.5
1366,Jayson Tatum-steals-under,1.5
1368,Myles Turner-fg3m-over,1.5
941,Andrew Nembhard-blocks-under,0.5
942,Jayson Tatum-rebounds-under,10.5
943,Payton Pritchard-fg3m-over,1.5
1088,Andrew Nembhard-blocks-under,0.5
1090,Andrew Nembhard-points-over,10.5
1089,T.J. McConnell-points-over,9.5
440,Jayson Tatum-rebounds-under,10.5
441,Jayson Tatum-steals-under,1.5
442,Jrue Holiday-steals-under,1.5
1234,Andrew Nembhard-blocks-under,0.5
1235,Jayson Tatum-points-under,29.5
1236,Payton Pritchard-steals-under,0.5
972,Al Horford-rebounds-under,7.5
971,Andrew Nembhard-blocks-under,0.5
736,Andrew Nembhard-blocks-under,0.5
737,Jayson Tatum-rebounds-under,10.5
738,Jaylen Brown-rebounds-under,6.5
973,Andrew Nembhard-points-over,10.5
467,Andrew Nembhard-blocks-under,0.5
469,Pascal Siakam-assists-over,2.5
468,Aaron Nesmith-points-over,9.5
1479,Derrick White-rebounds-over,3.5
1478,Payton Pritchard-points-over,9.5
1477,Andrew Nembhard-blocks-under,0.5
1896,Andrew Nembhard-blocks-under,0.5
1897,Payton Pritchard-steals-under,0.5
1898,Payton Pritchard-fg3m-over,1.5
283,Payton Pritchard-steals-under,0.5
281,Andrew Nembhard-blocks-under,0.5
282,Myles Turner-steals-under,0.5
26,Al Horford-rebounds-under,7.5
25,Andrew Nembhard-blocks-under,0.5
24,Obi Toppin-points-over,7.5
1889,Aaron Nesmith-points-over,9.5
1887,Andrew Nembhard-blocks-under,0.5
1888,Derrick White-rebounds-over,3.5
1486,Derrick White-rebounds-over,3.5
1485,Payton Pritchard-fgm-over,3.5
1484,Andrew Nembhard-blocks-under,0.5
1028,T.J. McConnell-points-over,9.5
195,Andrew Nembhard-blocks-under,0.5
196,Jayson Tatum-rebounds-under,10.5
1901,Jayson Tatum-rebounds-under,10.5
1900,T.J. McConnell-points-over,9.5
1899,Andrew Nembhard-blocks-under,0.5
197,Jrue Holiday-rebounds-under,5.5
1027,Payton Pritchard-assists-over,2.5
1026,Andrew Nembhard-blocks-under,0.5
765,Luke Kornet-points-over,3.5
764,Andrew Nembhard-blocks-under,0.5
766,Payton Pritchard-fgm-over,3.5
298,Pascal Siakam-blocks-under,0.5
297,Derrick White-rebounds-over,3.5
296,Jayson Tatum-steals-under,1.5
397,Myles Turner-fg3m-over,1.5
396,Al Horford-rebounds-under,7.5
395,Andrew Nembhard-blocks-under,0.5
1544,Payton Pritchard-fg3m-over,1.5
1542,Andrew Nembhard-blocks-under,0.5
1543,Luke Kornet-points-over,3.5
618,Jrue Holiday-steals-under,1.5
617,Luke Kornet-assists-over,0.5
616,Andrew Nembhard-blocks-under,0.5
211,Pascal Siakam-blocks-under,0.5
210,Andrew Nembhard-blocks-under,0.5
212,Aaron Nesmith-points-over,9.5
213,Andrew Nembhard-blocks-under,0.5
214,T.J. McConnell-points-over,9.5
215,Pascal Siakam-assists-over,2.5
276,Payton Pritchard-assists-over,2.5
275,Andrew Nembhard-blocks-under,0.5
277,Pascal Siakam-assists-over,2.5
503,Pascal Siakam-blocks-under,0.5
504,Andrew Nembhard-points-over,10.5
502,Andrew Nembhard-blocks-under,0.5
897,Andrew Nembhard-blocks-under,0.5
898,Luke Kornet-points-over,3.5
899,Jrue Holiday-rebounds-under,5.5
170,Andrew Nembhard-blocks-under,0.5
171,Jrue Holiday-steals-under,1.5
1671,Jaylen Brown-rebounds-under,6.5
172,Andrew Nembhard-points-over,10.5
1669,Andrew Nembhard-blocks-under,0.5
1670,Jrue Holiday-steals-under,1.5
779,Andrew Nembhard-blocks-under,0.5
780,T.J. McConnell-assists-over,4.5
781,Pascal Siakam-blocks-under,0.5
1627,Andrew Nembhard-blocks-under,0.5
1629,Jrue Holiday-rebounds-under,5.5
1628,Jrue Holiday-steals-under,1.5
833,Andrew Nembhard-blocks-under,0.5
835,T.J. McConnell-assists-over,4.5
834,Jayson Tatum-steals-under,1.5
1452,T.J. McConnell-points-over,9.5
1453,Jayson Tatum-steals-under,1.5
1451,Andrew Nembhard-blocks-under,0.5
179,Andrew Nembhard-blocks-under,0.5
181,Jayson Tatum-steals-under,1.5
180,Payton Pritchard-assists-over,2.5
1536,Andrew Nembhard-blocks-under,0.5
1537,Jayson Tatum-steals-under,1.5
1538,Pascal Siakam-assists-over,2.5
